City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,Arrecife,ES,28.963,-13.5477,67.98,64,40,20.71,scattered clouds
187,Lompoc,US,34.6391,-120.4579,80.13,27,40,3.44,scattered clouds
188,Nanakuli,US,21.3906,-158.1547,78.62,80,0,4.61,clear sky
189,Luanda,AO,-8.8368,13.2343,82.4,78,20,8.05,few clouds
190,Great Yarmouth,GB,52.6083,1.7305,44.85,81,100,11.03,overcast clouds
191,Verkhoyansk,RU,67.5447,133.385,-34.53,100,93,1.57,overcast clouds
192,Pangai,TO,-19.8,-174.35,82.22,77,100,12.97,overcast clouds
193,Mayo,US,38.8876,-76.5119,64.24,53,0,8.01,clear sky
194,Kununurra,AU,-15.7667,128.7333,78.78,94,24,4.61,few clouds
195,Belur,IN,13.1667,75.8667,63.68,28,69,4.09,broken clouds
196,Meiktila,MM,20.8667,95.8667,73.0,31,5,2.89,clear sky
197,Matagami,CA,49.7502,-77.6328,8.71,61,75,2.3,haze
198,Hami,CN,42.8,93.45,35.46,35,59,2.98,broken clouds
199,Chicama,PE,-7.8447,-79.1469,68.54,51,50,11.07,scattered clouds
200,Buchanan,LR,5.8808,-10.0467,80.56,85,100,8.23,moderate rain
201,Mouila,GA,-1.8685,11.0559,76.15,94,100,2.75,moderate rain
202,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,78.98,89,100,3.62,overcast clouds
203,Gizo,SB,-8.103,156.8419,79.02,84,100,7.23,moderate rain
204,Berlevag,NO,70.8578,29.0864,35.6,80,40,27.63,scattered clouds
205,Fort Wellington,GY,6.4,-57.6,82.26,73,100,8.57,overcast clouds
206,Butembo,CD,0.15,29.2833,59.16,96,100,3.31,light rain
207,Wokha,IN,26.1,94.2667,46.45,70,5,3.74,clear sky
208,Talnakh,RU,69.4865,88.3972,-21.8,99,100,5.77,overcast clouds
209,Vitim,RU,59.4511,112.5578,12.74,96,100,6.06,overcast clouds
210,Alenquer,BR,-1.9417,-54.7383,86.34,56,92,5.88,overcast clouds
211,Dejen,ET,10.1667,38.1333,62.94,25,33,5.97,scattered clouds
212,Arman,RU,59.7,150.1667,7.77,77,100,13.24,overcast clouds
213,Isiro,CD,2.7739,27.616,64.08,98,100,2.1,light rain
214,Olinda,BR,-8.0089,-34.8553,85.73,70,40,9.22,scattered clouds
215,Iquique,CL,-20.2208,-70.1431,71.92,74,52,3.89,broken clouds
216,Jiuquan,CN,39.7432,98.5174,33.51,30,98,2.26,overcast clouds
217,Logrono,ES,42.4667,-2.45,51.3,71,75,4.61,broken clouds
218,Mookane,BW,-23.688,26.6595,80.94,43,95,6.87,overcast clouds
219,Uturoa,PF,-16.7333,-151.4333,81.72,71,45,18.77,scattered clouds
220,San Patricio,US,28.017,-97.5169,75.02,51,7,9.98,clear sky
221,Lagos,NG,6.5833,3.75,88.12,80,98,7.36,overcast clouds
222,Coolum Beach,AU,-26.5333,153.1,77.34,98,72,3.31,broken clouds
223,Sarlat-La-Caneda,FR,44.889,1.2166,52.47,91,100,3.4,overcast clouds
224,Bara,NG,10.3744,10.7288,84.83,7,33,8.68,scattered clouds
225,Grindavik,IS,63.8424,-22.4338,39.67,87,75,16.11,broken clouds
226,Mbandaka,CD,0.0487,18.2603,75.72,79,100,1.66,overcast clouds
227,Camacha,PT,33.0833,-16.3333,63.54,77,40,13.8,scattered clouds
228,Lasa,IT,46.6166,10.7002,45.48,78,98,5.12,overcast clouds
229,Ancud,CL,-41.8697,-73.8203,69.33,84,100,6.78,overcast clouds
230,Chara,RU,56.9064,118.2631,-2.04,76,100,2.28,overcast clouds
231,Jasper,US,37.2001,-94.3502,74.82,14,0,14.97,clear sky
232,Lukovetskiy,RU,64.2956,41.9211,28.38,94,91,7.29,overcast clouds
233,Ghorawal,IN,24.7667,82.7833,62.67,30,0,3.33,clear sky
234,Kombissiri,BF,12.0656,-1.3375,96.78,26,100,9.24,overcast clouds
235,Kuhdasht,IR,33.535,47.6061,49.51,46,75,2.89,broken clouds
236,Jinchang,CN,38.4953,102.1739,35.98,25,100,9.62,overcast clouds
237,Karlstad,SE,59.3793,13.5036,32.56,80,5,5.75,clear sky
238,Sao Joao Da Barra,BR,-21.6403,-41.0511,89.69,79,2,14.72,clear sky
239,Hebi,CN,35.8992,114.1925,46.29,20,0,5.21,clear sky
240,Pauini,BR,-7.7136,-66.9764,89.96,54,100,3.13,overcast clouds
241,Kirksville,US,40.1948,-92.5833,74.05,31,0,3.44,clear sky
242,Coruripe,BR,-10.1256,-36.1756,84.15,64,74,10.51,moderate rain
243,College,US,64.8569,-147.8028,7.12,87,75,0.0,mist
244,Srisailam,IN,16.0833,78.8667,71.24,33,84,4.09,broken clouds
245,Portobelo,PA,9.55,-79.65,85.06,87,83,13.04,broken clouds
246,Termoli,IT,41.9888,14.9895,43.23,66,7,11.01,clear sky
247,Poum,NC,-20.2333,164.0167,81.19,76,100,7.81,overcast clouds
248,Severo-Kurilsk,RU,50.6789,156.125,24.1,66,92,24.92,light snow
249,Baykit,RU,61.67,96.37,8.87,92,100,9.08,overcast clouds
250,Newport,GB,51.5877,-2.9984,48.25,87,100,3.0,overcast clouds
251,Taoudenni,ML,22.6783,-3.9836,75.99,21,31,12.19,scattered clouds
252,Licheng,CN,23.2955,113.8284,70.97,87,64,4.34,broken clouds
253,Krasnaya Gorbatka,RU,55.8703,41.7641,23.76,96,100,4.05,overcast clouds
254,Nouadhibou,MR,20.931,-17.0347,71.58,73,0,20.71,sand
255,Padang,ID,-0.9492,100.3543,77.05,86,100,3.47,moderate rain
256,Avera,US,33.194,-82.5271,77.92,25,0,6.17,clear sky
257,San Quintin,MX,30.4833,-115.95,69.82,37,88,3.8,overcast clouds
258,Neryungri,RU,56.6709,124.6491,-22.45,98,56,3.44,broken clouds
259,Nantucket,US,41.2835,-70.0995,46.54,56,0,10.36,clear sky
260,Saint Marys,US,30.7305,-81.5465,79.02,31,0,11.5,clear sky
261,Abu Dhabi,AE,24.4667,54.3667,69.82,79,0,3.44,clear sky
262,Partizan,RU,53.9502,38.098,23.74,98,89,3.74,overcast clouds
263,Coro,VE,11.4045,-69.6734,85.69,64,94,20.36,overcast clouds
264,Arraial Do Cabo,BR,-22.9661,-42.0278,93.16,62,0,12.66,clear sky
265,Howard Springs,AU,-12.497,131.047,80.51,97,100,5.7,overcast clouds
266,Hofn,IS,64.2539,-15.2082,41.02,87,100,19.57,overcast clouds
267,Matou,CN,29.8315,115.5774,55.4,69,95,2.08,overcast clouds
268,Srandakan,ID,-7.9386,110.2506,75.54,90,100,6.26,overcast clouds
269,Yar-Sale,RU,66.8333,70.8333,5.45,96,100,7.29,light snow
270,Shimoda,JP,34.6667,138.95,46.11,71,23,6.22,few clouds
271,Moranbah,AU,-22.0016,148.0466,78.15,84,0,11.18,clear sky
272,Gunjur,GM,13.2019,-16.7339,80.67,50,100,10.36,overcast clouds
273,Goderich,CA,43.7501,-81.7165,35.91,69,100,8.05,overcast clouds
274,Haapiti,PF,-17.5667,-149.8667,83.93,70,81,16.8,broken clouds
275,Huarmey,PE,-10.0681,-78.1522,74.8,73,100,4.0,overcast clouds
276,Kasongo-Lunda,CD,-6.4667,16.8167,74.05,87,100,1.25,overcast clouds
277,Luangwa,ZM,-15.6167,30.4167,73.54,79,66,1.34,broken clouds
278,Geraldton,AU,-28.7667,114.6,55.81,67,0,6.91,clear sky
279,Chuy,UY,-33.6971,-53.4616,86.88,29,0,12.1,clear sky
280,Ugoofaaru,MV,5.6667,73.0,83.17,60,74,9.42,broken clouds
281,Coquimbo,CL,-29.9533,-71.3436,68.34,72,3,6.67,clear sky
282,Soanierana Ivongo,MG,-16.9167,49.5833,77.59,88,85,1.43,overcast clouds
283,Luebo,CD,-5.35,21.4167,71.31,85,97,2.06,overcast clouds
284,Bambous Virieux,MU,-20.3428,57.7575,80.85,83,75,13.8,light rain
285,Ponta Do Sol,PT,32.6667,-17.1,67.06,78,42,0.56,scattered clouds
